Time (s),Channel 1 (V),Channel 2 (V)
0.0777125,1.452436215991741,0.6312374958162217
0.077725,1.452774094,0.6308988674873984
0.0777375,1.453111971123938,0.6308988674873984
0.07775,1.453111971123938,0.6308988674873984
0.0777625,1.454125603822234,0.6308988674873984
0.077775,1.454801358954431,0.6312374958162217
0.0777875,1.455477114086628,0.6312374958162217
0.0778,1.455477114086628,0.6312374958162217
0.0778125,1.455477114086628,0.6312374958162217
0.077825,1.455139236520529,0.6312374958162217
0.0778375,1.456152869218825,0.6312374958162217
0.07785,1.456490746784924,0.6308988674873984
0.0778625,1.457166501917121,0.6312374958162217
0.077875,1.457504379483219,0.6312374958162217
0.0778875,1.457504379483219,0.6308988674873984
0.0779,1.458180134615416,0.6312374958162217
0.0779125,1.458180134615416,0.6312374958162217
0.077925,1.459531644879811,0.6312374958162217
0.0779375,1.459531644879811,0.6312374958162217
0.07795,1.459869522445909,0.6308988674873984
0.0779625,1.460207400012008,0.6312374958162217
0.077975,1.460545277578106,0.6312374958162217
0.0779875,1.461558910276402,0.6312374958162217
0.078,1.461558910276402,0.6312374958162217
0.0780125,1.462234665408599,0.6312374958162217
0.078025,1.462234665408599,0.6312374958162217
0.0780375,1.462234665408599,0.6312374958162217
0.07805,1.462572542974697,0.6312374958162217
0.0780625,1.462910420540796,0.6315761241450448
0.078075,1.463586175672993,0.6312374958162217
0.0780875,1.463924053239092,0.6312374958162217
0.0781,1.464599808371289,0.6312374958162217
0.0781125,1.464937685937387,0.6312374958162217
0.078125,1.465275563503486,0.6315761241450448
0.0781375,1.465613441069584,0.6315761241450448
0.07815,1.465613441069584,0.6312374958162217
0.0781625,1.466289196201781,0.6315761241450448
0.078175,1.466964951333978,0.6312374958162217
0.0781875,1.466964951333978,0.6315761241450448
0.0782,1.467302828900077,0.6315761241450448
0.0782125,1.468316461598373,0.6315761241450448
0.078225,1.468654339164471,0.6315761241450448
0.0782375,1.469667971862767,0.6315761241450448
0.07825,1.469667971862767,0.6312374958162217
0.0782625,1.469330094296668,0.6315761241450448
0.078275,1.469667971862767,0.6315761241450448
0.0782875,1.470005849428865,0.6315761241450448
0.0783,1.470681604561062,0.6315761241450448
0.0783125,1.470681604561062,0.6319147524738681
0.078325,1.471695237259358,0.6315761241450448
0.0783375,1.472033114825456,0.6315761241450448
0.07835,1.472033114825456,0.6315761241450448
0.0783625,1.473046747523752,0.6315761241450448
0.078375,1.473046747523752,0.6315761241450448
0.0783875,1.473722502655949,0.6315761241450448
0.0784,1.474398257788146,0.6315761241450448
0.0784125,1.474736135354245,0.6315761241450448
0.078425,1.475074012920343,0.6319147524738681
0.0784375,1.475411890486442,0.6315761241450448
0.07845,1.475411890486442,0.6319147524738681
0.0784625,1.476425523184738,0.6315761241450448
0.078475,1.476425523184738,0.6319147524738681
0.0784875,1.476763400750836,0.6315761241450448
0.0785,1.477101278316935,0.6315761241450448
0.0785125,1.477439155883033,0.6319147524738681
0.078525,1.477439155883033,0.6319147524738681
0.0785375,1.477777033449132,0.6319147524738681
0.07855,1.479128543713526,0.6319147524738681
0.0785625,1.479128543713526,0.6319147524738681
0.078575,1.479466421279624,0.6319147524738681
0.0785875,1.479804298845723,0.6319147524738681
0.0786,1.480142176411821,0.6319147524738681
0.0786125,1.480817931544019,0.6315761241450448
0.078625,1.481155809110117,0.6315761241450448
0.0786375,1.481831564242314,0.6319147524738681
0.07865,1.482169441808413,0.6315761241450448
0.0786625,1.482507319374511,0.6319147524738681
0.078675,1.482507319374511,0.6319147524738681
0.0786875,1.482845197,0.6315761241450448
0.0787,1.483183074506708,0.6319147524738681
0.0787125,1.483858829638905,0.6319147524738681
0.078725,1.484196707205004,0.6319147524738681
0.0787375,1.484196707205004,0.6319147524738681
0.07875,1.484196707205004,0.6319147524738681
0.0787625,1.484872462337201,0.6315761241450448
0.078775,1.48521034,0.6319147524738681
0.0787875,1.485548217469398,0.6319147524738681
0.0788,1.486561850167694,0.6319147524738681
0.0788125,1.486561850167694,0.6319147524738681
0.078825,1.486899727733792,0.6322533808026912
0.0788375,1.487913360432088,0.6322533808026912
0.07885,1.487913360432088,0.6322533808026912
0.0788625,1.488926993130383,0.6322533808026912
0.078875,1.489264870696482,0.6322533808026912
0.0788875,1.489940625828679,0.6322533808026912
0.0789,1.489940625828679,0.6325920091315145
0.0789125,1.490278503394778,0.6322533808026912
0.078925,1.490278503394778,0.6322533808026912
0.0789375,1.490616380960876,0.6322533808026912
0.07895,1.491292136093073,0.6325920091315145
0.0789625,1.491967891225271,0.6322533808026912
0.078975,1.491967891225271,0.6325920091315145
0.0789875,1.492305768791369,0.6325920091315145
0.079,1.492981523923566,0.6325920091315145
0.0790125,1.493319401489665,0.6325920091315145
0.079025,1.494333034,0.6325920091315145
0.0790375,1.494670911754059,0.6325920091315145
0.07905,1.495008789320157,0.6325920091315145
0.0790625,1.495346666886256,0.6325920091315145
0.079075,1.495346666886256,0.6325920091315145
0.0790875,1.496360299584552,0.6325920091315145
0.0791,1.497036054716748,0.6325920091315145
0.0791125,1.497373932282847,0.6325920091315145
0.079125,1.497036054716748,0.6325920091315145
0.0791375,1.497373932282847,0.6325920091315145
0.07915,1.497373932282847,0.6325920091315145
0.0791625,1.497711809848946,0.6325920091315145
0.079175,1.498725442547241,0.6329306374603376
0.0791875,1.498725442547241,0.6325920091315145
0.0792,1.499401197679438,0.6325920091315145
0.0792125,1.499401197679438,0.6322533808026912
0.079225,1.500414830377734,0.6325920091315145
0.0792375,1.500414830377734,0.6325920091315145
0.07925,1.501428463,0.6325920091315145
0.0792625,1.501428463,0.6325920091315145
0.079275,1.501090585509931,0.6325920091315145
0.0792875,1.502104218208227,0.6325920091315145
0.0793,1.502442095774325,0.6325920091315145
0.0793125,1.503455728472621,0.6325920091315145
0.079325,1.503455728472621,0.6325920091315145
0.0793375,1.503793606038719,0.6325920091315145
0.07935,1.503793606038719,0.6325920091315145
0.0793625,1.504131483604818,0.6325920091315145
0.079375,1.504807238737015,0.6325920091315145
0.0793875,1.504807238737015,0.6325920091315145
0.0794,1.505820871435311,0.6325920091315145
0.0794125,1.505820871435311,0.6329306374603376
0.079425,1.506496626567508,0.6329306374603376
0.0794375,1.506834504133606,0.6325920091315145
0.07945,1.507172381699705,0.6325920091315145
0.0794625,1.507172381699705,0.6329306374603376
0.079475,1.507510259265803,0.6329306374603376
0.0794875,1.508186014,0.6329306374603376
0.0795,1.508523891964099,0.6329306374603376
0.0795125,1.509199647096296,0.6325920091315145
0.079525,1.509537524662395,0.6329306374603376
0.0795375,1.509875402228493,0.6329306374603376
0.07955,1.510551157,0.6325920091315145
0.0795625,1.511226912492887,0.6329306374603376
0.079575,1.511226912492887,0.6329306374603376
0.0795875,1.511226912492887,0.6325920091315145
0.0796,1.511564790058986,0.6329306374603376
0.0796125,1.511564790058986,0.6329306374603376
0.079625,1.512240545191183,0.6329306374603376
0.0796375,1.512578422757281,0.6329306374603376
0.07965,1.513592055455577,0.6329306374603376
0.0796625,1.513592055455577,0.6329306374603376
0.079675,1.513929933021676,0.6329306374603376
0.0796875,1.514267810587774,0.6332692657891609
0.0797,1.514605688153873,0.6329306374603376
0.0797125,1.515957198418267,0.6329306374603376
0.079725,1.515957198418267,0.6332692657891609
0.0797375,1.516632953550464,0.6329306374603376
0.07975,1.516632953550464,0.6329306374603376
0.0797625,1.516970831116562,0.6329306374603376
0.079775,1.516970831116562,0.6329306374603376
0.0797875,1.516970831116562,0.6332692657891609
0.0798,1.517984463814858,0.6332692657891609
0.0798125,1.518322341380957,0.6329306374603376
0.079825,1.518998096513154,0.6329306374603376
0.0798375,1.518998096513154,0.6332692657891609
0.07985,1.519335974079252,0.6332692657891609
0.0798625,1.520011729211449,0.6332692657891609
0.079875,1.520687484343646,0.6329306374603376
0.0798875,1.521025361909745,0.6332692657891609
0.0799,1.521363239475843,0.6332692657891609
0.0799125,1.522038994608041,0.6332692657891609
0.079925,1.521701117041942,0.6332692657891609
0.0799375,1.523390504872435,0.6332692657891609
0.07995,1.523390504872435,0.6332692657891609
0.0799625,1.524066260004632,0.6332692657891609
0.079975,1.523728382438533,0.6332692657891609
0.0799875,1.524404138,0.6329306374603376
0.08,1.524404138,0.6332692657891609
0.0800125,1.524404138,0.6332692657891609
0.080025,1.525417770269026,0.6332692657891609
0.0800375,1.525755647835125,0.633607894
0.08005,1.526093525401223,0.633607894
0.0800625,1.526431402967322,0.6332692657891609
0.080075,1.527445035665617,0.633607894
0.0800875,1.527445035665617,0.6332692657891609
0.0801,1.527782913231716,0.633607894
0.0801125,1.528796545930011,0.6332692657891609
0.080125,1.529134423,0.633607894
0.0801375,1.529134423,0.633607894
0.08015,1.529472301062208,0.633607894
0.0801625,1.529472301062208,0.633607894
0.080175,1.530485933760504,0.633607894
0.0801875,1.531161688892701,0.633607894
0.0802,1.531499566,0.633607894
0.0802125,1.532175321590997,0.633607894
0.080225,1.531837444024898,0.633607894
0.0802375,1.531837444024898,0.633607894
0.08025,1.532513199157095,0.633607894
0.0802625,1.532851076723194,0.633607894
0.080275,1.533864709421489,0.633607894
0.0802875,1.533864709421489,0.6332692657891609
0.0803,1.534202586987588,0.633607894
0.0803125,1.534540464553687,0.633607894
0.080325,1.534878342119785,0.633607894
0.0803375,1.535891974818081,0.6339465224468072
0.08035,1.535891974818081,0.633607894
0.0803625,1.536567729950278,0.633607894
0.080375,1.536567729950278,0.633607894
0.0803875,1.537243485082475,0.6339465224468072
0.0804,1.537919240214672,0.633607894
0.0804125,1.538257118,0.6339465224468072
0.080425,1.538594995346869,0.633607894
0.0804375,1.538932872912968,0.633607894
0.08045,1.539270750479066,0.6339465224468072
0.0804625,1.539270750479066,0.633607894
0.080475,1.539608628045165,0.633607894
0.0804875,1.539946505611263,0.6339465224468072
0.0805,1.540622261,0.6339465224468072
0.0805125,1.540960138309559,0.633607894
0.080525,1.541635893441756,0.6339465224468072
0.0805375,1.541973771007854,0.6339465224468072
0.08055,1.541973771007854,0.6342851507756304
0.0805625,1.543325281272249,0.6339465224468072
0.080575,1.543663158838347,0.6339465224468072
0.0805875,1.543663158838347,0.633607894
0.0806,1.544001036404446,0.6339465224468072
0.0806125,1.544676791536643,0.6339465224468072
0.080625,1.545352547,0.6342851507756304
0.0806375,1.546028301801037,0.6339465224468072
0.08065,1.546366179367135,0.6342851507756304
0.0806625,1.546366179367135,0.6339465224468072
0.080675,1.546704056933234,0.6342851507756304
0.0806875,1.546366179367135,0.6342851507756304
0.0807,1.547041934499333,0.6339465224468072
0.0807125,1.547041934499333,0.6342851507756304
0.080725,1.54771769,0.6339465224468072
0.0807375,1.548055567197628,0.6342851507756304
0.08075,1.548393444763727,0.6339465224468072
0.0807625,1.548731322329825,0.6342851507756304
