Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
190.5460717963248,-3.541932731116861,-3.087706043185994,-44.25325881058266
196.4867789993467,-3.685885461538793,-3.214701789454133,-45.07265974875548
202.6127012621143,-3.833972015085034,-3.343962695607328,-45.89196786685166
208.929613085404,-3.985622335196755,-3.476910009246081,-46.71056211788732
215.4434690031883,-4.14108407745689,-3.613719629457659,-47.51846030977583
222.1604091955812,-4.299523792225177,-3.753975120897841,-48.33441499991073
229.0867652767774,-4.462164067906148,-3.897092179882339,-49.13898860853037
236.2290662634462,-4.627788687926356,-4.043940479261393,-49.94688172934849
243.5940447292027,-4.797525171557841,-4.19377179299696,-50.74875155054322
251.1886431509579,-4.969659926587878,-4.34708199680858,-51.54139027468609
259.0200204531324,-5.145901709418274,-4.503631768372392,-52.33572020557193
267.0955587558985,-5.324622638335947,-4.664128151571045,-53.11763517944536
275.4228703338166,-5.507109894512528,-4.826788929042883,-53.89544835757872
284.0098047914215,-5.692452665566977,-4.993623193463007,-54.67035431634669
292.8644564625235,-5.880773411430987,-5.163639048939287,-55.43059885517003
301.9951720402016,-6.071607473211845,-5.336609624704561,-56.19097335612085
311.410558444676,-6.266249176808222,-5.511000487745376,-56.93600403624706
321.1194909364822,-6.462544257788561,-5.691598229066623,-57.68258824707061
331.1311214825911,-6.662795128456239,-5.873500770893214,-58.41226137861048
341.4548873833603,-6.864879294717719,-6.058467608354863,-59.13685729933282
352.1005201684519,-7.070053802375769,-6.255859070742748,-59.8586355575619
363.0780547701014,-7.276893906524414,-6.436884975345211,-60.55948233018744
374.3978389823811,-7.486229873528664,-6.632419761349796,-61.25289424655185
386.0705432153813,-7.698498032195783,-6.829532938699981,-61.93131312681842
398.1071705534973,-7.912796751306338,-7.026159121505425,-62.6061864416528
410.5190671273078,-8.129221981153687,-7.226914637910422,-63.2702811670698
423.3179328088209,-8.346664646713453,-7.431432402813064,-63.91743844639105
436.5158322401659,-8.566863477760371,-7.637229638024348,-64.5625214085095
450.1252062061337,-8.7889573743119,-7.849370013405695,-65.19541322426238
464.158883361278,-9.012467405190108,-8.060424348840231,-65.81001345807499
478.6300923226382,-9.238666100797767,-8.2703927749962,-66.41425959859987
493.5524741394807,-9.466308529455809,-8.486533899486799,-67.00828182446807
508.9400951518091,-9.695391468428534,-8.702186665793128,-67.59821647936519
524.8074602497726,-9.926213258658503,-8.92208441234753,-68.1843577069842
541.1695265464638,-10.15862071697301,-9.145568033722022,-68.732658104666
558.0417174769964,-10.39161660707056,-9.370795725425145,-69.28500262308043
575.4399373371569,-10.62749708163001,-9.591708524702161,-69.82100594721015
593.380586275328,-10.8623327285662,-9.817581243543431,-70.36029707310574
611.8805757518219,-11.09983562277948,-10.04495072671092,-70.87185987485054
630.9573444801933,-11.33859000485673,-10.27578072281866,-71.35087613693412
650.628874865557,-11.57795655352218,-10.50629401728931,-71.85444052878631
670.9137099554113,-11.8195496254222,-10.73560864316917,-72.36394457159332
691.8309709189366,-12.06137224083081,-10.97577521287137,-72.82538513957297
713.4003750712561,-12.30418211522579,-11.21670612164278,-73.28529659546246
735.6422544596413,-12.54823587705896,-11.45277471611927,-73.71154396741201
758.5775750291835,-12.79325868754979,-11.69659166395544,-74.16016077103617
782.2279563860025,-13.03938930034859,-11.93201826533348,-74.57983324293301
806.6156921766136,-13.28620009268814,-12.17306033986742,-75.00374445977182
831.7637711026708,-13.53413463079725,-12.409525734841,-75.46184538295537
857.6958985908941,-13.7819627093999,-12.65341699372684,-75.82323771825094
884.4365191385999,-14.03020417519617,-12.89715405650972,-76.21242497680268
912.0108393559096,-14.28056723946469,-13.14107408408237,-76.56933270278816
940.4448517263519,-14.53055793348003,-13.382568433956,-76.97274036013769
969.7653591082491,-14.78143803757888,-13.63394840860373,-77.3202006197108
1000,-15.03335770710263,-13.88140745266344,-77.6503479194447
